timestamp	sensor_id	temp_c	humidity_pct
2026-03-10T12:00:01	s1	21.0	44.8
2026-03-10T12:00:01	s2	19.5	46.9
2026-03-10T12:00:01	s3	23.1	43.1
2026-03-10T12:00:02	s1	20.9	47.8
2026-03-10T12:00:02	s2	19.5	44.6
2026-03-10T12:00:02	s3	23.2	42.4
2026-03-10T12:00:03	s1	21.0	45.6
2026-03-10T12:00:03	s2	19.4	46.4
2026-03-10T12:00:03	s3	23.1	44.7
2026-03-10T12:00:04	s1	21.0	47.7
2026-03-10T12:00:04	s2	19.4	43.3
2026-03-10T12:00:04	s3	23.2	47.9
2026-03-10T12:00:05	s1	21.1	42.4
2026-03-10T12:00:05	s2	19.6	46.7
2026-03-10T12:00:05	s3	23.4	43.3
2026-03-10T12:00:06	s1	20.9	42.1
2026-03-10T12:00:06	s2	19.6	44.5
2026-03-10T12:00:06	s3	23.1	43.1
2026-03-10T12:00:07	s1	20.9	43.6
2026-03-10T12:00:07	s2	19.4	47.2
2026-03-10T12:00:07	s3	23.2	44.5
2026-03-10T12:00:08	s1	20.9	47.4
2026-03-10T12:00:08	s2	19.4	42.3
2026-03-10T12:00:08	s3	23.3	44.6
2026-03-10T12:00:09	s1	21.2	43.8
2026-03-10T12:00:09	s2	19.4	47.7
2026-03-10T12:00:09	s3	23.2	45.2
2026-03-10T12:00:10	s1	21.1	47.8
2026-03-10T12:00:10	s2	19.5	47.5
2026-03-10T12:00:10	s3	23.2	46.9
2026-03-10T12:00:11	s1	21.0	47.4
2026-03-10T12:00:11	s2	19.4	46.3
2026-03-10T12:00:11	s3	23.2	42.9
2026-03-10T12:00:12	s1	21.1	46.9
2026-03-10T12:00:12	s2	19.6	47.0
2026-03-10T12:00:12	s3	23.3	42.1
2026-03-10T12:00:13	s1	21.1	47.6
2026-03-10T12:00:13	s2	19.5	43.9
2026-03-10T12:00:13	s3	23.3	46.0
2026-03-10T12:00:14	s1	21.0	46.3
2026-03-10T12:00:14	s2	19.7	47.7
2026-03-10T12:00:14	s3	23.3	45.8
2026-03-10T12:00:15	s1	21.1	45.5
2026-03-10T12:00:15	s2	19.4	46.5
2026-03-10T12:00:15	s3	23.1	46.2
2026-03-10T12:00:16	s1	21.1	45.6
2026-03-10T12:00:16	s2	19.4	43.3
2026-03-10T12:00:16	s3	23.1	46.1
2026-03-10T12:00:17	s1	21.2	44.2
2026-03-10T12:00:17	s2	19.5	43.8
2026-03-10T12:00:17	s3	23.2	46.9
2026-03-10T12:00:18	s1	20.9	45.0
2026-03-10T12:00:18	s2	19.7	44.5
2026-03-10T12:00:18	s3	23.2	47.0
2026-03-10T12:00:19	s1	21.0	47.8
2026-03-10T12:00:19	s2	19.5	47.6
2026-03-10T12:00:19	s3	23.2	44.2
2026-03-10T12:00:20	s1	21.1	43.0
2026-03-10T12:00:20	s2	19.5	43.7
2026-03-10T12:00:20	s3	23.3	46.1
2026-03-10T12:00:21	s1	21.1	46.2
2026-03-10T12:00:21	s2	19.7	47.4
2026-03-10T12:00:21	s3	23.1	42.5
2026-03-10T12:00:22	s1	21.1	42.5
2026-03-10T12:00:22	s2	19.4	47.6
2026-03-10T12:00:22	s3	23.1	46.5
2026-03-10T12:00:23	s1	21.1	45.3
2026-03-10T12:00:23	s2	19.6	45.0
2026-03-10T12:00:23	s3	23.3	46.0
2026-03-10T12:00:24	s1	21.2	43.3
2026-03-10T12:00:24	s2	19.6	45.3
2026-03-10T12:00:24	s3	23.1	47.1
2026-03-10T12:00:25	s1	21.2	44.1
2026-03-10T12:00:25	s2	19.6	44.8
2026-03-10T12:00:25	s3	23.4	45.9
2026-03-10T12:00:26	s1	21.1	44.4
2026-03-10T12:00:26	s2	19.7	46.7
2026-03-10T12:00:26	s3	23.3	43.6
2026-03-10T12:00:27	s1	21.1	43.8
2026-03-10T12:00:27	s2	19.7	47.5
2026-03-10T12:00:27	s3	23.3	42.0
2026-03-10T12:00:28	s1	21.2	42.2
2026-03-10T12:00:28	s2	19.4	46.7
2026-03-10T12:00:28	s3	23.4	45.1
2026-03-10T12:00:29	s1	21.1	43.9
2026-03-10T12:00:29	s2	19.5	45.4
2026-03-10T12:00:29	s3	23.2	45.3
2026-03-10T12:00:30	s1	21.0	45.7
2026-03-10T12:00:30	s2	19.5	42.3
2026-03-10T12:00:30	s3	23.4	44.6
2026-03-10T12:00:31	s1	21.2	44.3
2026-03-10T12:00:31	s2	19.6	44.4
2026-03-10T12:00:31	s3	23.2	43.0
2026-03-10T12:00:32	s1	21.0	46.3
2026-03-10T12:00:32	s2	19.4	42.7
2026-03-10T12:00:32	s3	23.3	44.4
2026-03-10T12:00:33	s1	21.1	47.5
2026-03-10T12:00:33	s2	19.7	43.0
2026-03-10T12:00:33	s3	23.2	42.6
2026-03-10T12:00:34	s1	20.9	42.1
2026-03-10T12:00:34	s2	19.6	42.9
2026-03-10T12:00:34	s3	23.3	45.3
2026-03-10T12:00:35	s1	21.2	45.4
2026-03-10T12:00:35	s2	19.4	46.4
2026-03-10T12:00:35	s3	23.4	45.8
2026-03-10T12:00:36	s1	21.2	43.1
2026-03-10T12:00:36	s2	19.6	43.3
2026-03-10T12:00:36	s3	23.2	47.0
2026-03-10T12:00:37	s1	21.1	46.8
2026-03-10T12:00:37	s2	19.5	43.6
2026-03-10T12:00:37	s3	23.1	42.5
